intent,text,no_taboo_words
audio_volume_down,Could you kindly reduce the level of audio?,True
datetime_query,Can you inform me about the present moment in Germany?,True
music_query,Can you provide me the title of what's currently being played?,True
qa_currency,How much does a single US dollar equal in terms of Japanese yen? ,True
audio_volume_down,Turn the volume knob in a manner that reduces the noise level by 50%.,True
audio_volume_up,"I need to hear it better, can you adjust something?",True
music_query,Is it possible for you to dispatch the verses of this track via email?,True
audio_volume_up,Can you modify the decibel scale to reach the value corresponding to twenty-one?,True
weather_query,Would it be wise for me to anticipate needing a shovel to exit my home?,True
qa_currency,How many pounds can you get with a certain amount of dollars?,True
audio_volume_down,Reduce the audio level.,True
audio_volume_up,Enhance the audio.,True
cooking_recipe,How can one determine the right temperature required to deep-fry an entire turkey?,True
audio_volume_down,Reduce the loudness of media.,True
play_music,Kindly activate the tracks from my roster of songs.,True
qa_currency,How much can I purchase with five hundred pesos?,True
cooking_recipe,How can I make incredibly delicious meatballs?,True
news_query,What is the present situation of the nearby region?,True
datetime_query,Do you happen to know what hour it is at the moment?,True
cooking_recipe,Can you provide me with the steps to make some delightful cookies?,True
play_music,"Is it possible to have ""Let Me Love You"" by Ariana Grande played?",True
audio_volume_down,Kindly adjust your voice's intensity.,True
weather_query,"Provided that precipitation occurs, I will abstain from attending work.",True
cooking_recipe,What are some secrets to crafting fantastic meatballs?,True
cooking_recipe,"Hey there, robotic buddy. Would you kindly jot down the elements necessary for preparing some welsh rarebit?",True
transport_traffic,Is there any obstruction in the movement of cars along the highway one zero one?,True
transport_traffic,Did you encounter any hassle getting to your destination?,True
music_query,Reveal to me the nature of my audio preferences.,True
play_music,Could you suggest some melodies with a funky vibe?,True
qa_currency,How does the value of lera stack up against that of the dollar?,True
datetime_query,In what moment does Chicago's day transition to evening?,True
music_query,What's the current sound that's resonating?,True
play_music,What is the most recent Bob Dylan playlist that I can access?,True
play_music,Would it be possible to kick off the tune of the theme song from Titanic?,True
audio_volume_down,Can you please adjust the loudness of the speakers?,True
news_query,"""Have lawmakers taken their vote on the budget?""",True
weather_query,Should I bring my sunglasses with me while going out?,True
transport_traffic,What was the situation like on the way here?,True
weather_query,Do I need to pack sun protection for the day?,True
transport_traffic,"""What's the status of my daily transportation routine?""",True
weather_query,Would the atmosphere get cooler throughout this week?,True
cooking_recipe,"When baking cookies, which temperature is ideal?",True
qa_currency,What is the value of USD when compared with INR?,True
audio_volume_up,Can you make it sound more powerful?,True
datetime_query,"Inform me about the current hour in Germany, please.",True
play_music,Which artist's performance is live on stage?,True
transport_traffic,How much rushing will I have to do because of the high volume of automobiles en route to my workplace?,True
news_query,Would you be so kind as to enlighten me with the newest updates around town?,True
music_query,Tell me who crooned.,True
music_query,I require the written lyrics for this piece by means of electronic mail.,True
qa_currency,Which type of cash is accepted in Egypt?,True
transport_traffic,Is the flow of transportation currently disrupted?,True
audio_volume_down,Can you make the sound less loud?,True
play_music,Can you start the tunes that are on my list?,True
weather_query,Is it necessary to prepare myself to clear the exit of my abode?,True
audio_volume_down,Reduce the sound?,True
audio_volume_up,Would it be possible to amplify the audio in any way?,True
qa_currency,How much does one US dollar cost in Indian rupees?,True
transport_traffic,Are there any impediments on the way?,True
music_query,At what point in time did this tune become available?,True
audio_volume_up,Amplify the audio.,True
audio_volume_up,Can you dial up the sound coming from the left speaker by ten?,True
datetime_query,What is the concept of temporal measurement?,True
news_query,Are there any updates or changes in Facebook that I should know about?,True
cooking_recipe,What are some ways to find instructions for making a flavorful omelet filled with four types of cheese?,True
